savant_id,schedule_id,savant_uri,schedule_url,savant_name,schedule_name,savant_team,schedule_team,official_name,full_name
55,592332,Gausman_Kevin,https://www.mlb.com/player/592332,Kevin Gausman,Gausman,Toronto Blue Jays,Toronto Blue Jays,Kevin Gausman,Kevin John Gausman
56,502043,Gibson_Kyle,https://www.mlb.com/player/502043,Kyle Gibson,Gibson,Philadelphia Phillies,Philadelphia Phillies,Kyle Gibson,Kyle Benjamin Gibson
57,669302,Gilbert_Logan,https://www.mlb.com/player/669302,Logan Gilbert,Gilbert L,Seattle Mariners,Seattle Mariners,Logan Gilbert,Logan Keith Gilbert
58,665926,Gimenez_Andres,https://www.mlb.com/player/665926,Andres Gimenez,Gimenez,Cleveland Guardians,Cleveland Guardians,Andres Gimenez,Andres Alfonso Gimenez
59,502671,Goldschmidt_Paul,https://www.mlb.com/player/502671,Paul Goldschmidt,Goldschmidt,St. Louis Cardinals,St. Louis Cardinals,Paul Goldschmidt,Paul Edward Goldschmidt
60,594835,Gonzales_Marco,https://www.mlb.com/player/594835,Marco Gonzales,Gonzales,Seattle Mariners,Seattle Mariners,Marco Gonzales,Marco Elias Gonzales
61,545341,Grichuk_Randal,https://www.mlb.com/player/545341,Randal Grichuk,Grichuk,Colorado Rockies,Colorado Rockies,Randal Grichuk,Randal Alexander Grichuk
62,663757,Grisham_Trent,https://www.mlb.com/player/663757,Trent Grisham,Grisham,San Diego Padres,San Diego Padres,Trent Grisham,Trenton Marcus Grisham
63,665489,Guerrero_Jr_Vladimir,https://www.mlb.com/player/665489,Vladimir Guerrero Jr,Guerrero,Toronto Blue Jays,Toronto Blue Jays,Vladimir Guerrero,Vladimir Guerrero
64,493329,Gurriel_Yuli,https://www.mlb.com/player/493329,Yuli Gurriel,Gurriel,Houston Astros,Houston Astros,Yuli Gurriel,Yulieski Gurriel
65,664023,Happ_Ian,https://www.mlb.com/player/664023,Ian Happ,Happ,Chicago Cubs,Chicago Cubs,Ian Happ,Ian Edward Happ
66,663647,Hayes_Ke_Bryan,https://www.mlb.com/player/663647,Bryan Hayes Ke,Hayes,Pittsburgh Pirates,Pittsburgh Pirates,Ke'Bryan Hayes,Ke'Bryan Kobe Hayes
67,669720,Hays_Austin,https://www.mlb.com/player/669720,Austin Hays,Hays,Baltimore Orioles,Baltimore Orioles,Austin Hays,Austin Charles Bryan Hays
68,514917,Hernandez_Cesar,https://www.mlb.com/player/514917,Cesar Hernandez,Hernandez,Washington Nationals,Washington Nationals,Cesar Hernandez,Cesar Augusto Hernandez
69,606192,Hernandez_Teoscar,https://www.mlb.com/player/606192,Teoscar Hernandez,Hernandez T,Toronto Blue Jays,Toronto Blue Jays,Teoscar Hernandez,Teoscar Jose Hernandez
70,663538,Hoerner_Nico,https://www.mlb.com/player/663538,Nico Hoerner,Hoerner,Chicago Cubs,Chicago Cubs,Nico Hoerner,Nicholas Mackie Hoerner
